위도,경도,거점ID,전기차 여부,주소,거점명
37.57451,127.0388,1259,GA,서울 동대문구 용두동 33-1,홈플러스 동대문점
37.56948,127.067,1080,GA,서울 동대문구 장안동 392-3,장안동(장안주차장)
37.58794,127.0809,444,GA,서울 중랑구 면목동 146-1,면목2동사거리
37.55738,126.9006,2153,GA,서울 마포구 망원동 429-4,마포구민체육센터 옆
37.54551,127.1362,2368,GA,서울 강동구 천호동 산31,천호1동 주민센터 옆
37.5613,127.0258,2492,GA,서울 성동구 금호베스트빌,금호베스트빌
37.66863,127.0471,325,GA,서울 도봉구 방학동 720,도봉구청
37.54979,127.1443,457,GA,서울 강동구 명일동 324-14,명일역 4번출구
37.51329,126.917,779,GA,서울 영등포구 신길동 107-4,신길역
37.48076,126.8931,2087,GA,서울 구로구 구로동 851,구로한화비즈메트로
37.4996,126.9304,792,GA,서울 동작구 상도동 324-62,신대방삼거리
37.49561,127.0282,1924,GA,서울 서초구 서초동 1328-3,강남역 5번출구
37.56486,126.9914,1036,GA,서울 중구 초동 64-11,을지로3가역 9번출구
37.67262,127.0446,328,GA,서울 도봉구 도봉동 623 앞,도봉역
37.53063,127.12,78,GA,서울 송파구 풍납동 504-2,강동구청역 4번출구
37.55982,127.0014,928,GA,서울 중구 장충동2가 193-39,엠버서더호텔 뒤
37.50815,127.0267,281,TO,서울 강남구 논현동 168,논현초교지하주차장
37.56366,126.9647,638,GA,서울 서대문구 충정로2가 191,서대문역(경기대입구)
37.55198,126.9165,1237,GA,서울 마포구 서교동 378-10,합정역 2번출구
37.51611,127.1031,1269,GA,서울 송파구 신천동 7-12,홈플러스 잠실점
37.55308,126.8266,411,GA,서울 강서구 내발산동 750-10,마곡수명산파크 앞
37.51154,127.1136,512,GA,서울 송파구 방이동 110-7,방이시장
37.55593,126.9235,1274,GA,서울 마포구 동교동 165-8,홍대입구역 9번출구
37.57659,126.9852,2179,GA,서울 종로구 안국동 148,안국역 1번출구
37.59779,127.0905,1263,GA,서울 중랑구 상봉동 500,홈플러스 상봉점
37.54264,126.8701,463,GA,서울 양천구 목동 42-104,목동
37.66111,127.0387,731,GA,서울 도봉구 쌍문2동 710-4,성원아파트사거리
37.5121,126.9392,370,GA,서울 동작구 노량진2동 47-2,동작구청
37.5797,127.0543,666,GA,서울 동대문구 전농동 206-113,서울시립대 앞C
37.58868,127.0104,1229,GA,서울 성북구 삼선동4가 18-6,한성대입구역 1번출구
37.57093,126.9859,1111,GA,서울 종로구 인사동 119-1,종각역 11번출구
37.56931,127.177,2515,GA,서울 강동구 강일동 668,강일리버파크 2단지
37.55621,127.016,366,GA,서울 중구 신당동 333-260,동산초등학교 앞
37.54102,127.1287,1160,GA,서울 강동구 천호동 404-1,천호시장 앞
37.55305,126.9346,628,GA,서울 마포구 노고산동 117-2,서강대역 2번출구
37.62704,127.0264,2358,GA,서울 강북구 미아동 197-5,미아역 2번출구
37.61642,127.092,548,GA,서울 중랑구 신내동 647,봉화산역(남)N
37.4848,126.8966,2439,GA,서울 구로구 구로동 188-25,롯데렌터카 구로디지털영업소
37.50468,127.0184,782,GA,서울 서초구 반포동 743-19,신논현역 1번출구
37.51738,127.1308,2303,GA,서울 송파구 방이동 88-2,올림픽공원역(한체대)
37.6304,127.0219,2189,GA,서울 강북구 수유동 55-29,수유마을시장 공영주차장
37.65008,127.02,319,GA,서울 도봉구 쌍문동 416-27,덕성여대
37.50465,126.9957,1921,EV,서울 서초구 반포2동 5-1,신반포역 1번출구
126.9005,37.53312,2575,GA,서울 영등포구 당산동5가 9-2,당산역 11번출구(삼성쉐르빌)C
37.51691,127.0386,2144,GA,서울 강남구 논현동 117-7,강남구청역 3번출구
37.54657,126.9497,2484,GA,서울 마포구 공덕동 370-4,공덕역 2번출구(서울창업허브)
37.56451,126.8495,1255,GA,서울 강서구 가양동 18-24,홈플러스 가양점
37.51011,127.0809,855,GA,서울 송파구 잠실동 192-2,잠실먹자골목(부광빌딩)
37.5613,126.8126,738,GA,서울 강서구 공항동 25-8,송정역 2번출구
37.56624,126.9019,422,TO,서울 마포구 성산동 370,마포구청
37.53998,127.0948,200,GA,서울 광진구 구의동 199-18,구의동
37.48159,126.8387,1939,GA,서울 구로구 천왕동 산 25-8,천왕초등학교 앞(천왕이펜하우스S)
37.46938,126.9197,2241,GA,서울 관악구 신림동 1727,임광관악파크 아파트
37.6049,127.0252,2405,GA,서울 성북구 길음동 1070-32,길음역 8번출구(실내낚시터)
37.52976,127.0074,1228,GA,서울 용산구 한남동 522-44,한남역 1번출구
37.54563,126.9113,916,TO,서울 마포구 합정동 136,양화진공영
37.55719,126.862,1908,GA,서울 강서구 등촌동 631-5,하이마트 가양점
37.5835,126.9501,1842,GA,서울 서대문구 홍제동 22-3,GS칼텍스 홍제동
37.51712,127.1022,1071,GA,서울 송파구 신천동 7-14,잠실역 9번출구
37.51758,126.8476,2204,GA,서울 양천구 신월동 1063,신정뉴타운롯데캐슬아파트
37.5062,126.9705,2435,GA,서울 동작구 흑석동 28  ,흑석동 한강현대아파트
37.64035,127.0272,755,GA,서울 강북구 수유동 174-17,수유역 8번출구
37.51226,127.0996,402,TO,서울 송파구 잠실동 40-1,롯데백화점 잠실
37.47566,126.9793,564,TO,서울 관악구 남현동 1063-1,사당역 6번출구
37.4968,127.0406,199,GA,서울 강남구 역삼동 733-8,구역삼세무서교차로(남국빌딩)
37.48313,127.1227,1937,GA,서울 송파구 문정동 652-1,문정역 3번출구
37.52964,127.1214,2367,GA,서울 강동구 성내동 554,NH농협은행 별관주차장
37.52035,126.9673,1053,GA,서울 용산구 이촌로54길,이촌역 4번출구
37.62881,127.0594,2045,GA,서울 노원구 월계1동 291-12,월계1동 거주자우선주차구역
37.56112,126.9628,1183,GA,서울 서대문구 충정로3가 470,충정로역 8번출구
37.48476,127.0394,906,GA,서울 서초구 양재동 1-38,양재전화국
37.61285,126.9332,1990,GA,서울 은평구 불광동 645,불광롯데캐슬아파트
37.56488,127.0211,150,GA,서울 중구 신당동 142-5,신당역 3번출구
37.54176,126.9535,2421,GA,서울 마포구 도화동 25-66,공덕역 효성해링턴스퀘어
37.54479,127.1219,1164,GA,서울 강동구 천호동 329,천호유수지
37.56182,126.7986,2043,GA,서울 강서구 과해동 676,김포공항
37.58345,127.0873,560,GA,서울 중랑구 면목3동 570,사가정역(까치공원)
37.64037,126.9205,926,GA,서울 은평구 진관동 65-22,에코테라스(윌슨파킹)
37.55579,126.9378,864,GA,서울 서대문구 창천동 29-90,신촌역 엘리트주차장
37.48011,127.1442,2008,GA,서울 송파구 장지동 884,위례 2차아이파크
37.63798,127.0226,752,GA,서울 강북구 수유동 10-4,수유역 5번출구
37.55433,126.9202,1220,GA,서울 마포구 서교동 353-6,하이마트 홍대입구역점
37.51006,127.0553,581,GA,서울 강남구 삼성동 151-5,삼성중앙역 5번출구(Z.A.G. POT)
37.48596,126.8861,245,GA,서울 구로구 구로동 806-68,남구로역
37.48459,127.0837,1061,GA,서울 강남구 일원본동 716-2,일원역
37.4884,127.0645,2139,GA,서울 강남구 개포동 153,개포동역 8번출구(GDIP)
37.6271,127.0252,499,GA,서울 강북구 미아동 207-24,미아역 8번출구
37.54001,127.0026,1225,GA,서울 용산구 한남동 728-27,한강진역
37.5068,126.9604,2447,GA,서울 동작구 흑석동 224-1,중앙대병원
37.49413,126.9237,535,GA,서울 동작구 신대방동 425,보라매병원
37.59066,127.0189,729,GA,서울 성북구 동선동2가 133,성신여대 앞
